49
-0.50000000000000	-0.50000000000000	0	
-0.33333333333333	-0.50000000000000	0	
-0.16666666666667	-0.50000000000000	0	
0.00000000000000	-0.50000000000000	0	
0.16666666666667	-0.50000000000000	0	
0.33333333333333	-0.50000000000000	0	
0.50000000000000	-0.50000000000000	0	
-0.50000000000000	-0.33333333333333	0	
-0.33333333333333	-0.33333333333333	1	
-0.16666666666667	-0.33333333333333	1	
0.00000000000000	-0.33333333333333	0	
0.16666666666667	-0.33333333333333	1	
0.33333333333333	-0.33333333333333	1	
0.50000000000000	-0.33333333333333	0	
-0.50000000000000	-0.16666666666667	0	
-0.33333333333333	-0.16666666666667	1	
-0.16666666666667	-0.16666666666667	1	
0.00000000000000	-0.16666666666667	0	
0.16666666666667	-0.16666666666667	1	
0.33333333333333	-0.16666666666667	1	
0.50000000000000	-0.16666666666667	0	
-0.50000000000000	0.00000000000000	0	
-0.33333333333333	0.00000000000000	1	
-0.16666666666667	0.00000000000000	1	
0.00000000000000	0.00000000000000	0	
0.16666666666667	0.00000000000000	1	
0.33333333333333	0.00000000000000	1	
0.50000000000000	0.00000000000000	0	
-0.50000000000000	0.16666666666667	0	
-0.33333333333333	0.16666666666667	1	
-0.16666666666667	0.16666666666667	1	
0.00000000000000	0.16666666666667	1	
0.16666666666667	0.16666666666667	1	
0.33333333333333	0.16666666666667	1	
0.50000000000000	0.16666666666667	0	
-0.50000000000000	0.33333333333333	0	
-0.33333333333333	0.33333333333333	1	
-0.16666666666667	0.33333333333333	1	
0.00000000000000	0.33333333333333	1	
0.16666666666667	0.33333333333333	1	
0.33333333333333	0.33333333333333	1	
0.50000000000000	0.33333333333333	0	
-0.50000000000000	0.50000000000000	0	
-0.33333333333333	0.50000000000000	0	
-0.16666666666667	0.50000000000000	0	
0.00000000000000	0.50000000000000	0	
0.16666666666667	0.50000000000000	0	
0.33333333333333	0.50000000000000	0	
0.50000000000000	0.50000000000000	0	
72
0 	 1 	 8
0 	 8 	 7
1 	 2 	 9
1 	 9 	 8
2 	 3 	 10
2 	 10 	 9
3 	 4 	 11
3 	 11 	 10
4 	 5 	 12
4 	 12 	 11
5 	 6 	 13
5 	 13 	 12
7 	 8 	 15
7 	 15 	 14
8 	 9 	 16
8 	 16 	 15
9 	 10 	 17
9 	 17 	 16
10 	 11 	 18
10 	 18 	 17
11 	 12 	 19
11 	 19 	 18
12 	 13 	 20
12 	 20 	 19
14 	 15 	 22
14 	 22 	 21
15 	 16 	 23
15 	 23 	 22
16 	 17 	 24
16 	 24 	 23
17 	 18 	 25
17 	 25 	 24
18 	 19 	 26
18 	 26 	 25
19 	 20 	 27
19 	 27 	 26
21 	 22 	 29
21 	 29 	 28
22 	 23 	 30
22 	 30 	 29
23 	 24 	 31
23 	 31 	 30
24 	 25 	 32
24 	 32 	 31
25 	 26 	 33
25 	 33 	 32
26 	 27 	 34
26 	 34 	 33
28 	 29 	 36
28 	 36 	 35
29 	 30 	 37
29 	 37 	 36
30 	 31 	 38
30 	 38 	 37
31 	 32 	 39
31 	 39 	 38
32 	 33 	 40
32 	 40 	 39
33 	 34 	 41
33 	 41 	 40
35 	 36 	 43
35 	 43 	 42
36 	 37 	 44
36 	 44 	 43
37 	 38 	 45
37 	 45 	 44
38 	 39 	 46
38 	 46 	 45
39 	 40 	 47
39 	 47 	 46
40 	 41 	 48
40 	 48 	 47
